objid,type,name,ra,dec,u,g,r,i,z,redshift
1237651754551607353,GALAXY,NGC 4600,190.095665727047,3.11774858740886,15.00396,13.32736,12.61835,12.29228,12.03885,0.002784812
1237652944786292741,GALAXY,NGC 7814,0.812460440749931,16.1456992019514,24.63464,25.11437,17.73936,16.56057,15.64623,0.003532906
1237655126082977857,GALAXY,NGC 4249,184.497472452469,5.59858204373458,15.91163,14.19807,13.45293,13.06919,12.8073,0.00870102
1237655126083174516,GALAXY,NGC 4270,184.956134022146,5.46345810216753,14.42126,12.69857,11.95048,11.5713,11.27668,Null
1237657628990439427,GALAXY,NGC 3917A,177.806047731175,52.000850243408,15.16475,13.57788,12.85358,12.49375,12.28459,0.003010673
1237657776082780171,GALAXY,PGC 026857,141.978481581312,44.506091655339,15.1709,14.26602,13.8162,13.55343,13.32621,0.008808643
1237658802573475866,GALAXY,NGC 3998,179.483879946287,55.4536193874297,13.95085,12.00736,11.47466,10.75336,10.44741,Null
1237661812812677152,GALAXY,VCC 1148,187.242250638528,12.6617419906665,17.59152,15.65646,14.89957,14.49125,14.2168,0.004720885
1237661813348237434,GALAXY,VCC 200,184.140435362055,13.0315686595423,16.71748,15.11596,14.4635,14.08516,13.93166,2.82781E-05
1237661815485956105,GALAXY,NGC 4660,191.133255040043,11.1905310018544,13.686,11.74123,10.97334,10.52345,10.31051,Null
1237661817095717024,GALAXY,IC 3586,189.228514074988,12.5200724022113,15.63945,14.1297,13.52902,13.24427,13.00129,0.005747533
1237661817633374346,GALAXY,VCC 1993,191.050101744785,12.9418308394491,16.48612,15.03967,14.39792,14.0464,13.83864,0.002826157
1237661970112643097,GALAXY,NGC 4430,186.860028813607,6.26276811931841,14.60154,13.23693,12.65223,12.32641,12.20198,0.004828318
1237661970121949501,GALAXY,UGC 08799,208.332640849631,5.77165441079604,17.4341,15.93447,15.23517,14.91375,14.77421,0.003490624
1237661976547491868,GALAXY,NGC 4318,185.680378367238,8.19827730720493,15.4039,13.74325,13.02114,12.644,12.35472,0.00401303
1237662236931915904,GALAXY,UGC 07854,190.466528150761,9.40294593821323,16.42771,14.98496,14.35362,14.03725,13.86567,0.003241959
1237662663206502409,GALAXY,NGC 5557,214.607180825945,36.4935614976126,13.86267,12.03243,11.29811,10.7422,10.58189,Null
1237663278472626194,GALAXY,NGC 428,18.2323706806467,0.981503682808717,13.36334,12.16842,11.67774,11.45237,11.35606,Null
1237664292076584979,GALAXY,NGC 4405,186.529777870449,16.1810013211992,14.18746,12.74907,12.09605,11.74271,11.5323,0.005788414
1237664295298138131,STAR,UGC 08760,207.713759797244,38.0208026488873,23.61908,21.67361,20.46145,20.16954,19.73625,0.0006442588
1237664853103607848,GALAXY,NGC 5273,205.534921155244,35.6543072267731,14.05125,11.98089,11.6219,11.27831,11.00378,0.00361103
1237665098461085790,GALAXY,NGC 2753,136.784400908456,25.342459444818,15.13719,14.16759,13.62352,13.36378,13.10058,0.009271251
1237665127456702601,GALAXY,UGC 05340,149.191847779142,28.8288214707006,15.30616,14.64366,14.82038,15.05873,17.50938,0.001679777
1237665370119929863,GALAXY,PGC 035754,173.614759801672,33.1790333039019,16.11852,14.36254,13.61741,13.24663,13.00542,0.008420044
1237667444048658635,GALAXY,NGC 4875,194.907950386419,27.9073190203884,17.22689,15.37539,14.55055,14.15343,13.8371,0.02671725
1237667915957993627,GALAXY,EVCC 0662,186.869838796701,20.3694919992024,16.38147,15.33347,14.7596,14.67303,14.46525,0.235873
1237670458048118944,GALAXY,LEDA 213183,49.1126584465539,41.1802159339561,17.76461,15.9789,15.15112,14.7178,14.42587,0.01497664
1237678806386868331,GALAXY,NGC 777,30.0621848523231,31.4294457060323,14.5841,12.55282,11.65921,11.22293,10.85802,Null
1237678906254753809,GALAXY,NGC 518,21.0735749249023,9.33098676215403,15.68548,13.75585,12.74087,12.23602,11.83617,Null
